nk	sk
그 녀자는 그런가요?	그녀가 그런가요?
이 고독은 마틸드를 지치게 하고 괴롭혔다. 그러나 마틸드에게는 그것이 필요했다.	이 고독은 그녀를 지치게 하고 괴롭혔지만, 그녀는 그것이 절대적으로 필요했다.
너와 나사이에 비밀을 지키자.	너와 나 사이의 비밀로 하자.
아들에게 물었다.	아들에게 물었다.
그는 새생활이 공짜로 주어지는것은 아니며 또 그것을 위해서 더 많은 노력과 더 많은 고통을 필요로 하는것은 아니라는것을 몰랐다.	그는 새로운 삶이 공짜로 주어지지 않을 것이며, 그것을 위해 대가를 치러야 하고, 큰 노력과 큰 고통이 필요할 것이라는 것을 알지 못했다.
우연히 들은 이야기 즉 그날그날의 주소와 날짜에 대해서 이야기하는것이 그의 마음을 끌었고 그의 마음을 불안케 하였다.	우연히 던져진 언급, 즉 요일과 날짜에 대한 언급이 그를 생각하게 하고 계산하게 만들었으며, 분명히 그를 불안하게 했다.
기다려, 어떻게 될가?	기다려, 어떻게 되는 거야?
가증스럽다고 웨치면서 달려온 펠리씨!	가증스럽다고 외치며 달려 들어온 펠리시테!
하인들도 다 그렇게 하지 않았겠지만 보통 가사노릇을 하는 사람들은 리성과 리성의 미덕을 배양하지 않기때문에 우에 있는 사람들의 부주의, 불의한 본보기로부터 아주 쉽게 타락해버리는것이다.	모든 하인은 그렇게 하지 않았을 것이라고 나는 확신하지만, 일반적으로 가사도우미들은 무지하고 이성이나 반성에 익숙하지 않기 때문에 위에 있는 사람들의 부주의와 나쁜 본보기로 인해 너무 쉽게 타락하게 된다; 그리고 나는 이들이 처음부터 최상의 질이 아니었다고 생각한다.
그 어색한 표정은 낯선 사람의 눈에서 나타나는 특유한 표정에 의하여 더욱 뚜렷이 나타난것이였다. 그의 눈은 날카롭고 밝았으며 의심과 의심의 찌프림에 싸여있어 여직껏 한번도 보지 못한 그런 표정이였다.	범블 씨의 어색함은 낯선 사람의 눈에서 나타나는 매우 독특한 표정에 의해 더욱 부각되었는데, 그 눈은 날카롭고 밝았지만 불신과 의심의 찌푸림으로 가려져 있었고, 그가 이전에 본 적이 없는 것이었으며, 보기에도 역겨웠다.
이 정원은 더는 정원이 아니였다. 숲처럼 깊지는 않았으며 도시처럼 사람들로 가득차있었다. 언덕처럼 고요하고 성당처럼 음산하였으며 꽃무늬처럼 향기롭고 무덤처럼 고독했다.	이 정원은 더 이상 정원이 아니었고, 그것은 거대한 덤불이었으며, 즉, 숲처럼 침투할 수 없고, 도시처럼 사람들로 가득 차 있으며, 둥지처럼 떨리고, 대성당처럼 음산하고, 꽃다발처럼 향기롭고, 무덤처럼 고독하며, 군중처럼 살아 있는 것이었다.
그러나 나의 충고를 들으러 온다면 베씨, 저녁식사를 좀더 늦추자. 늦추기전에 사람들이 더 늦게 오는것이 응당하다는것을 알아야 하오.	하지만 내 조언을 듣겠다면, 베시, 저녁 시간을 조금 앞당기는 게 좋을 거야, 늦추기보다는 말이야, 왜냐하면 사람들은 더 늦게 오는 게 당연하다는 걸 알아야 하니까.
그러니 우리가 함께 있을 때에 서로 좋은 말을 주고받을수 있는 좋은 기회를 놓쳐서는 안된다.	그러니 우리가 모두 함께 있을 때 서로에게 좋은 말을 전할 수 있는 좋은 순간을 놓치지 말자.
그의 이름은 소금이요. 그는 정말 짭짤한 사나이였다.	그의 이름은 소금이며, 그는 정말 짭짤한 녀석이다.
그분한테서 그런 이야기를 들어보셨나요?	그와 이야기해 보았나요?
이렇게 오랜 시간을 두고 이야기를 계속하는것 같았다.	우리가 이렇게 오랜 시간 동안 계속하는 것 같았다.
쥴리앙은 남달리 뛰여난 정신력을 요구하는 성미여서 그림전시에 대하여 이야기하면서 거기서 펠레랭의 작품이 나온것을 보았다고 말하였다.	그는 마치 뛰어난 정신의 무관심함으로 그림 전시회에 대해 이야기하며, 그곳에서 펠레랭의 작품을 보았다고 말했다.
설사 당신이 나를 차지한다고 해도 퐁메르씨가 저를 다른 사람으로 생각할가요?	당신이 나를 차지한다고 해도, 퐁메르시 씨, 그게 내가 다른 사람이 되게 할까요?
그들은 문을 두드렸다.	그들이 문을 두드렸다.
너의 사촌들이 너를 사랑하고있다는것을 나는 알고있다.	너의 사촌이 너를 사랑하고 있다는 것을 나는 알고 있다.
이 말은 젊은 숙녀에게 보내는것으로 미루어보아 아마 그 녀자에게 자신을 돌이킬 시간을 주기 위해서 그랬을것이다.	이 말은 젊은 숙녀에게 향한 것으로 보였고, 아마도 낸시가 자신을 회복할 시간을 주기 위해서 한 말이었을 것이다.
너는 하느님께서 너를 부르지 않으신 그 생활속에서 자기의 의무를 다했을것이다. 하고 마리는 웃었다.	너는 하나님이 너를 부르지 않으신 그 삶의 상태에서 너의 의무를 다했을 것이다, 마리가 웃으며 말했다.
그러나 남에게 좋은 일을 할 때가 더 좋다. 그렇게 하면 모든 사람에게 물어볼수 있고 또 아무도 모른다.	하지만 누군가에게 좋은 일을 할 때가 더 좋으니, 그렇게 하면 모든 사람에게 물어볼 수 있고 아무도 모른다.
그는 그 녀자에게 단순히 쌀쌀한것만은 아니였다. 다른 녀성을 사랑하였기때문에 그 녀성을 미워하였던것이다.	그는 그녀에게 단순히 차가운 것이 아니라, 다른 여자를 사랑했기 때문에 그녀를 미워했다는 것이 분명했다.
선생님, 알베르가 대답하였다.	아, 선생님, 알베르가 대답했다.
사순절의 두번째 주에 그의 차례가 되여 군중과 함께 성화를 올리게 되였다.	사순절의 두 번째 주에, 그의 차례가 되어 그의 무리와 함께 성체를 받게 되었다.
그는 분노와 반항에 싸여있었고 톰은 아버지의 분쟁을 지지하였으며 아버지가 가슴에 품고있는 상처를 공유하고있었으나 그가 식사를 하면서 여유가 있을수록 더 크게 소리쳤고 더 격분할 때는 더 격분하였으며 더 격분할 때는 더 격분을 느꼈다.	그는 분노하고 반항적이었고, 톰은 아버지의 다툼을 지지하고 아버지가 느끼는 상처를 공유했지만, 디저트를 먹으며 여유가 생길수록 털리버 씨가 더 크게 소리치고 더 화를 낼 때 매기를 억누르는 감정의 일부를 느끼지 않는 것은 아니었다.
괴로움에 불타는 남자의 낮은 목소리로 시체를 향하여 하는 말이다.	고통에 찬 남자의 낮은 목소리로 시체에게 전해지는 비난.
금붕어라는 생각이 머리에서 오래동안 계속 떠올랐고 그것을 모아서 배심원 책상안에 다시 넣으면 죽지 않는다는 막연한 생각이 들었다.	금붕어의 사고가 머릿속에서 계속 떠올랐고, 그녀는 그것들을 즉시 모아서 배심원 상자에 다시 넣어야만 죽지 않을 것이라는 막연한 생각을 하고 있었다.
만일 내가 행복하다면 당신은 나에게 기쁨을 줄수 있는 말은 한마디도 하지 않을것이요.	내가 당신에게 그렇게 행복해 보인다면, 당신은 나를 그렇게 기쁘게 할 수 있는 어떤 말도 할 수 없을 것이다.
당신의 아버님은 살아계셔요?	당신의 아버지는 살아 계신가요?
그때 그 녀자의 편에 있었던것이라면 그것은 단지 환상적인 매력뿐이였다고 오블론스키는 주장했다.	그 당시 그녀의 편에 있었던 것이 있다면, 그것은 단지 피상적인 매력일 뿐이었다고 오블론스키는 주장했다.
스패인을 잡아라.	스파이를 잡아라.
그는 기침을 하며 내가 그 일을 잊어버리게 하려고 무뚝뚝하게 나를 초대한것 같았다.	웨이터가 기침을 하며 마치 내가 그 일을 잊도록 겸손하게 초대하는 듯했다.
나는 그것을 예견하지 못했다.	나는 그것을 예상하지 못했다.
그 녀자는 로리씨를 요구할수도 있고 텔손의 신사를 요구할수도 있다.	그녀는 자비스 로리 씨를 요청할 수도 있고, 아니면 텔슨 은행의 신사를 요청할 수도 있다.
바람을 탄 사냥군을 타거나 당신과 같이 현명한 판단력을 가진 사나이도 아니고 이런 사람들이 악의에 찬 거래에 돈을 쓴다는것은 참으로 불행한 일이라고 생각합니다.	부서진 바람을 가진 사냥꾼을 타야 하고, 당신만큼 좋은 판단력을 가진 사람도 아닌 이들이 나쁜 거래에 돈을 아무렇게나 쓰는 모습을 보는 것은 정말로 조금 안타까운 일인 것 같습니다.
친절히 대해주신다면 한 작가나 학생은 빚을 탕감해주고 약속어음을 주었음에도 불구하고 자기 방에서 나가려고 하지 않았다. 그래서 나는 그가 내앞에서 담배를 피우는것을 기쁘게 여기고있었다.	여기, 친절히 보신다면: 한 작가나 학생이 적어도 한 번은 빚을 갚지 않고, 약속어음을 주었으며, 자신의 방에서 나가려 하지 않고, 그에 대한 불만이 끊임없이 제기되고 있는데, 그는 내 앞에서 담배를 피우는 것에 대해 항의하는 것을 기쁘게 여겼다!
로체스터프는 두 친구와 즐겁게 이야기하고있었는데 한 친구는 훌륭한 후사르였고 다른 한 친구는 악명높은 결투군이며 방탕자였다.	로스토프는 두 친구와 즐겁게 이야기하고 있었는데, 한 친구는 멋진 후사르였고 다른 친구는 악명 높은 결투가이자 방탕자였다.
당나귀는 다시 죄책감에 사로잡혀 머리를 숙였으나 짚을 먹고나자 곧 눈을 깜빡이며 귀를 흔들어 조심스럽고 간절하게 자기앞에 다가서게 하였다.	당나귀는 다시 죄책감에 가득 차서 고개를 숙였지만, 짚을 먹고 나자 곧 눈을 깜빡이며 귀를 흔들기 시작했고, 다시 조심스럽지만 간절하게 앞에 있는 것을 당겼다.
쥴리앙은 눈을 떴다.	회관장이 다시 눈을 떴다.
나는 요구하였다.	나는 요구했다.
그 녀자의 눈은 그의 열정적인 시선앞에서 가뭇없이 사라지고말았다.	그녀의 눈은 그에게 고정된 열정적인 시선 앞에서 가려졌다.
그러나 나는 당신을 보자 몸서리를 쳤다.	하지만 나는 당신을 보고 충격을 받았다.
그 녀자는 다시금 잠이 들것만 같더니 몇초도 못가서 눈을 뜨고 나를 쳐다보았다.	그녀는 멈추고 다시 잠이 드는 듯 보였지만, 몇 초 후에 눈을 뜨고 말했다.
그 녀자는 결혼후에 나에게 두세번 편지를 썼으며 언제나 기분이 좋고 행복하다고 말하였다.	그녀는 결혼 여행의 여러 단계에서 나에게 두세 번 편지를 썼으며, 항상 기분이 좋고 매우 행복하다고 주장했다.
그 녀자를 너에게 기대게 하여라. 아, 그런 위험은 이제 없어.	그녀를 너에게 기대게 해라; 아, 이제 그런 위험은 없다.
늙은 백작은 성을 냈다.	늙은 백작은 화난 척했다.
쥴리앙은 들어갈수 없었다.	"오!
나는 들어갈 수 없다."
너는 내가 너에게 부탁한것을 잊지 않을거야.	너는 잊지 않을 거야, 내가 너에게 부탁한 것을 잊지 않을 거야?
기마와 기수를 혼동해서는 안된다. 기마와 기수를 혼동해서는 안된다.	아이디어에 기관차를 연결하는 것은 잘한 일이지만, 말과 기수를 혼동하지 말라.
그가 나쁜 사람이라고는 할수 없으면서도 그를 모르기때문에 그를 좋아하지 않는다고 나는 몇번이나 말했지.	그가 나쁜 사람이라고 말할 수는 없지만, 그를 모르기 때문에 그를 좋아하지 않는다고 나는 이미 천 번은 말했어.
내가 잘못 생각했어요, 아버지, 부인은 말하였다.	내가 무엇을 잘못했나요, 아버지, 그녀가 말했다.
라 몰양은 불현듯 팔을 들어 불현듯 들었다.	불프란에게 그녀는 위협적으로 팔을 들어 올렸다.
용서해주시오.	당신의 용서를 부탁드립니다.
엘리너는 이야기의 중간에 다른 한쪽을 돌아서서 다른쪽을 돌아보았다. 이때 미들톤부인이 낯선 사나이 하나를 소개했다.	엘리너는 그녀의 이야기 중간에 그쪽을 돌아서 나머지 일행을 맞이해야 했고, 미들턴 부인이 두 낯선 사람을 소개했다.
그것은 축축한곳에서 떨어졌고 장군은 피투성이가 된곳에서 말에서 떨어졌다.	그것은 축축한 곳으로 떨어졌고, 장군은 피가 고인 곳에서 말에서 떨어졌다.
나는 그의 신념이 그의 천재적인 사나이와 나란히 서있다는것을 느꼈다.	나는 그의 신념이 그의 천재성인 남자와 함께 걷고 있다는 느낌이 들었다.
